type,entryIndex,entryTime,entryPrice,stopPrice,peak,activated,exitIndex,exitTime,exitPrice,grossPnlPct,netPnlPct,commissionPct,durationMinutes,reason
long,21518,1778884680000,79129.99,79010.18535714285,79227.77,false,21698,1778895480000,79010.18535714285,-0.1514023227567124,-0.25140232275671237,0.05,180,stop
long,21712,1778896320000,79119.43,78825.66178571428,79211.77,false,21981,1778912460000,78825.66178571428,-0.37129718235546993,-0.4712971823554699,0.05,269,stop
long,22295,1778931300000,78186.25,78721.62535714285,78191.98,false,22296,1778931360000,78721.62535714285,0.6847436181462256,0.5847436181462257,0.05,1,stop
short,22328,1778933280000,78074.66,79364.19142857143,76735.16,true,24461,1779061260000,76926.9979,1.4699546562226482,1.3699546562226481,0.05,2133,trailing
long,24704,1779075840000,77002.71,77803.86535714286,77002.71,false,24705,1779075900000,77803.86535714286,1.0404248852317692,0.9404248852317693,0.05,1,stop
long,24729,1779077340000,76987.55,77803.09392857144,77000,false,24730,1779077400000,77803.09392857144,1.0593192387229342,0.9593192387229342,0.05,1,stop
long,24731,1779077460000,76976,77803.09392857144,76983.3,false,24732,1779077520000,77803.09392857144,1.0744828629331755,0.9744828629331755,0.05,1,stop
long,24771,1779079860000,76967,77803.09392857144,76989.76,false,24772,1779079920000,77803.09392857144,1.0863018287986295,0.9863018287986295,0.05,1,stop
short,24821,1779082860000,76922.15,78521.73142857144,75705.13,true,31410,1779478200000,75894.392825,1.3361004275101407,1.2361004275101406,0.05,6589,trailing
long,31816,1779502560000,75536.72,76938.83607142857,75541.03,false,31817,1779502620000,76938.83607142857,1.8562046001316514,1.7562046001316514,0.05,1,stop
short,31959,1779511140000,75526.81,78118.14321428571,74289.6,true,32150,1779522600000,74475.32400000001,1.3922023186203547,1.2922023186203546,0.05,191,trailing
long,32314,1779532440000,74787.95,76995.1025,74787.95,false,32315,1779532500000,76995.1025,2.9512140659023234,2.8512140659023233,0.05,1,stop
long,32317,1779532620000,74781.31,76995.1025,74781.32,false,32318,1779532680000,76995.1025,2.9603553347754885,2.8603553347754884,0.05,1,stop
short,32412,1779538320000,74727.04,77691.57250000001,74660.05,false,35134,1779701640000,77691.57250000001,-3.9671483040142044,-4.0671483040142045,0.05,2722,stop
short,35220,1779706800000,77447.2,77118.3425,77441.82,false,35221,1779706860000,77118.3425,0.42462154861634543,0.3246215486163454,0.05,1,stop
long,35256,1779708960000,77502,76350.34749999999,78080,false,36952,1779810720000,76350.34749999999,-1.4859648783257349,-1.585964878325735,0.05,1696,stop
