type,entryIndex,entryTime,entryPrice,stopPrice,peak,activated,exitIndex,exitTime,exitPrice,grossPnlPct,netPnlPct,commissionPct,durationMinutes,reason
short,54794,1780881240000,63066.01,61360.30678571428,62958,false,54795,1780881300000,61360.30678571428,2.704631566648533,2.604631566648533,0.05,1,stop
short,55145,1780902300000,62836,61438.54214285714,62812,false,55146,1780902360000,61438.54214285714,2.2239764739048593,2.123976473904859,0.05,1,stop
short,55342,1780914120000,63227.75,61349.87142857143,63227.74,false,55343,1780914180000,61349.87142857143,2.9700227691615937,2.8700227691615936,0.05,1,stop
short,55344,1780914240000,63197.56,61349.87142857143,63162.27,false,55345,1780914300000,61349.87142857143,2.9236707420801804,2.8236707420801803,0.05,1,stop
short,55357,1780915020000,63229.99,61349.87142857143,63228.3,false,55358,1780915080000,61349.87142857143,2.9734601751930807,2.8734601751930806,0.05,1,stop
short,55441,1780920060000,63292,61356.135357142855,63234.51,false,55442,1780920120000,61356.135357142855,3.0586245384205664,2.9586245384205663,0.05,1,stop
short,55533,1780925580000,63377.51,61310.00357142857,63365.57,false,55534,1780925640000,61310.00357142857,3.2622083584088934,3.1622083584088934,0.05,1,stop
short,55677,1780934220000,63772.41,61300.466785714285,63746,false,55678,1780934280000,61300.466785714285,3.8761953865091794,3.7761953865091793,0.05,1,stop
short,55683,1780934580000,63802.01,61284.96214285714,63802.01,false,55684,1780934640000,61284.96214285714,3.9450917880845147,3.8450917880845146,0.05,1,stop
short,55688,1780934880000,63811.99,61284.96214285714,63796.43,false,55689,1780934940000,61284.96214285714,3.960114481844019,3.8601144818440187,0.05,1,stop
short,55690,1780935000000,63802.19,61284.96214285714,63802.18,false,55691,1780935060000,61284.96214285714,3.9453627800908735,3.8453627800908734,0.05,1,stop
short,55694,1780935240000,63800.01,61284.96214285714,63800,false,55695,1780935300000,61284.96214285714,3.942080662907202,3.8420806629072017,0.05,1,stop
short,56047,1780956420000,63491.66,62584.30857142857,63466.66,false,56048,1780956480000,62584.30857142857,1.4290875818515907,1.3290875818515906,0.05,1,stop
short,56371,1780975860000,62735.99,63956.8025,61640.45,true,57022,1781014920000,61794.55112499999,1.500636038420701,1.4006360384207008,0.05,651,trailing
short,57440,1781040000000,61905.37,63847.3175,61080,true,57926,1781069160000,61232.7,1.0866100953762259,0.9866100953762259,0.05,486,trailing
short,58114,1781080440000,61416,63788.98107142857,60755,false,60210,1781206200000,63788.98107142857,-3.863783169578889,-3.963783169578889,0.05,2096,stop
long,60313,1781212380000,63586.24,60851.64535714286,64668,true,63221,1781386860000,64506.33,1.4469954505880578,1.3469954505880577,0.05,2908,trailing
long,63727,1781417220000,64456.17,63309.89785714286,65437.74,true,64660,1781473200000,65274.14565,1.2690416604027206,1.1690416604027205,0.05,933,trailing
long,64897,1781487420000,65562,64010.904642857146,66949.22,true,65610,1781530200000,66781.84695,1.8606005765535012,1.760600576553501,0.05,713,trailing
long,65866,1781545560000,66907.52,64019.3425,66992,false,68870,1781725800000,64019.3425,-4.316670981079564,-4.416670981079563,0.05,3004,stop
long,69027,1781735220000,64371.05,65299.74214285715,64371.06,false,69028,1781735280000,65299.74214285715,1.4427170954289918,1.3427170954289918,0.05,1,stop
long,69029,1781735340000,64364.42,65299.74214285715,64377.78,false,69030,1781735400000,65299.74214285715,1.4531664277517746,1.3531664277517745,0.05,1,stop
long,69046,1781736360000,64340.77,65299.74214285715,64407.59,false,69047,1781736420000,65299.74214285715,1.490457983106435,1.390457983106435,0.05,1,stop
short,69686,1781774760000,64297.99,66223.76785714286,63294.01,true,70037,1781795820000,63452.245025,1.315352120649497,1.2153521206494968,0.05,351,trailing
short,70241,1781808060000,62680.04,66228.77107142858,61776.01,true,78562,1782307320000,61930.450025,1.1958990054888328,1.0958990054888327,0.05,8321,trailing
long,78927,1782329220000,59828.68,62026.14535714286,59828.68,false,78928,1782329280000,62026.14535714286,3.672929700509617,3.572929700509617,0.05,1,stop
long,78932,1782329520000,59801.38,62026.14535714286,59830,false,78933,1782329580000,62026.14535714286,3.7202575544960004,3.6202575544960003,0.05,1,stop
